track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,key_A,key_A#,key_B,key_C#,key_D,key_D#,key_E,key_F,key_F#,key_G,key_G#
209,191,1,2022,10,21,8.283241441385425,6,20.035255346973234,142,23,127.0,3,16.0,145,1,84,88,53,35,0,8,7,False,True,False,False,False,False,False,False,False,False,False
290,230,1,2022,11,4,7.593877844605118,35,19.75873248947074,34,26,37.0,5,1.0,92,0,75,55,76,25,0,10,15,False,False,True,False,False,False,False,False,False,False,False
212,231,2,2023,4,27,6.775366090936392,4,17.928115791305068,17,13,27.0,0,43.0,120,0,80,33,70,22,0,9,4,False,False,False,False,False,False,False,False,False,True,False
108,87,2,2022,12,24,6.008813185442595,5,19.10516755150566,3,31,2.0,1,0.0,139,0,70,77,48,37,0,12,5,False,False,False,False,False,True,False,False,False,False,False
316,133,1,2023,3,17,5.831882477283517,13,18.94214124045688,4,71,16.0,1,9.0,132,0,59,56,82,12,0,12,6,False,False,False,True,False,False,False,False,False,False,False
156,286,2,2018,3,29,8.340217320947035,15,20.374374479295863,30,70,142.0,0,27.0,114,1,32,17,74,14,0,17,3,False,True,False,False,False,False,False,False,False,False,False
93,234,2,2023,5,4,4.663439094112067,0,17.356534111822867,5,9,5.0,0,0.0,145,0,54,19,48,36,0,37,5,False,False,True,False,False,False,False,False,False,False,False
318,23,1,2022,9,16,7.329749689041512,17,19.99381817647854,53,120,62.0,0,2.0,110,1,82,67,69,0,0,18,4,False,False,False,True,False,False,False,False,False,False,False
133,203,2,2022,12,22,7.883069351305753,30,19.532928318156095,21,55,32.0,3,0.0,94,1,89,61,66,17,0,36,16,False,False,False,False,False,False,False,False,False,False,True
197,133,1,2023,3,24,5.924255797414532,19,18.9724219226617,4,72,5.0,0,5.0,120,1,62,32,76,0,0,39,4,False,False,False,False,False,False,False,False,False,True,False
302,130,2,2023,2,2,5.303304908059076,4,18.315600844473693,8,77,2.0,1,1.0,123,0,70,86,68,24,0,11,4,False,False,False,False,False,False,False,False,False,True,False
345,92,2,2002,5,26,8.938006576471201,14,20.300858260345496,18,51,,0,0.0,130,0,80,64,76,2,0,20,6,False,False,False,False,False,False,True,False,False,False,False
216,183,3,2023,3,2,7.097548850614793,34,18.801919222883022,10,41,20.0,0,1.0,94,1,82,53,67,34,0,9,8,False,False,True,False,False,False,False,False,False,False,False
273,120,2,2023,4,7,5.3471075307174685,4,18.377940504526205,4,45,11.0,2,24.0,89,0,73,44,57,39,0,32,6,False,False,False,False,False,False,False,False,False,True,False
295,96,1,2023,3,17,7.119635638017636,9,18.579452126158404,20,8,15.0,0,6.0,87,0,65,71,56,4,0,15,20,False,False,False,False,False,False,False,True,False,False,False
305,302,2,2023,3,31,6.565264970035361,0,17.884080404416814,8,1,13.0,0,0.0,96,0,48,50,80,40,0,37,20,False,False,False,False,False,False,False,False,True,False,False
139,197,1,2023,3,25,6.493753839851686,0,17.780562294038976,22,7,11.0,0,78.0,106,1,73,22,86,31,0,12,4,False,False,False,False,False,False,False,False,False,True,False
195,186,1,2022,12,9,6.901737206656574,4,19.40571218912427,30,84,88.0,1,28.0,130,1,74,79,87,45,0,30,3,False,False,False,False,False,False,False,False,True,False,False
88,102,2,2023,3,14,5.771441123130016,6,18.571981096883253,5,48,2.0,1,9.0,142,0,70,76,79,26,0,11,7,False,False,False,False,False,False,False,False,False,True,False
224,279,1,2022,10,21,7.868254265520613,4,19.887071295930927,19,29,21.0,0,0.0,140,1,64,18,37,72,0,12,7,False,False,False,True,False,False,False,False,False,False,False
210,155,1,2022,10,26,6.297109319933935,2,18.866741907458465,23,2,21.0,0,0.0,110,0,81,64,79,5,0,31,3,False,False,False,False,False,False,False,False,False,False,True
234,161,1,2022,1,21,7.807916628926408,20,19.922185291566706,20,68,50.0,0,22.0,120,1,71,57,97,1,0,13,11,False,True,False,False,False,False,False,False,False,False,False
154,284,1,2014,11,28,8.92757950384347,7,20.695036069217117,44,19,135.0,0,6.0,76,1,58,46,67,65,0,13,4,False,True,False,False,False,False,False,False,False,False,False
82,270,1,2017,2,20,9.252633284166434,7,20.639933882209352,71,53,181.0,0,10.0,172,1,60,77,78,45,0,12,6,False,False,False,False,False,False,False,False,True,False,False
362,285,1,2015,5,27,10.155995712480241,4,21.38974649836865,122,94,,0,18.0,136,0,36,12,57,9,0,14,8,False,False,False,True,False,False,False,False,False,False,False
272,128,1,2023,4,7,3.5553480614894135,0,18.038204256000316,0,0,0.0,0,0.0,92,0,71,41,31,79,0,10,5,False,True,False,False,False,False,False,False,False,False,False
